自治体,タイトル,URL,取得日
埼玉県,「令和6年度埼玉県児童相談所一時保護所第三者評価業務委託」に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0608/gyakutai-taiou/r6_daisansya_hogosho.html,2026-05-02
埼玉県,「令和7年度埼玉県児童相談所一時保護所第三者評価業務委託」に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0608/gyakutai-taiou/r7_daisansya_hogosho.html,2026-05-02
埼玉県,令和8年度働き方改革セミナー開催業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/rodo/r8hatakaiseminar.html,2026-05-02
埼玉県,「果樹農業に係るPR事業及びビジネスプランコンテスト運営等業務委託」企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0903/shinkshuno/r8proposal-kaju.html,2026-05-02
埼玉県,第4次埼玉県広域緑地計画策定支援業務委託に係る公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0508/koikiryokuchi.html,2026-05-02
埼玉県,令和8年度人権啓発イベント開催業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0303/human/2026fesuta.html,2026-05-02
埼玉県,令和8年度埼玉版FEMAシナリオ作成等業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0401/r8fema.html,2026-05-02
埼玉県,SAITAMAロボティクスセンター(仮称)広報誌制作業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8kikakuteian_kouhoushi.html,2026-05-02
埼玉県,埼玉県県民活動総合センター在り方検討に係る調査業務における企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0302/kenkatsu/2026_kenkatsu_arikata.html,2026-05-02
埼玉県,ねんりんピック彩の国さいたま2026オリジナルイベント「eスポーツ」企画運営業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/b0617/nenrin-ibento/jissigyoumu.html,2026-05-02
埼玉県,使用済み太陽光パネル将来排出量実態等調査業務委託に係る公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0506/r8puropo.html,2026-05-02
埼玉県,【募集終了】公園等建設工事（大宮スーパー・ボールパーク基本計画検討業務委託）簡易公募型プロポーザル方式について［公園スタジアム課］,https://www.pref.saitama.lg.jp/a1105/oomiyasbp/omiyasbpkihon.html,2026-05-02
埼玉県,県職員へのカスタマーハラスメントの防止・啓発ポスターデザイン作成・印刷業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0201/kanri/r8poster_kikakuteian.html,2026-05-02
埼玉県,ノーコードツール運用支援業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/dx/r8nocode.html,2026-05-02
埼玉県,「埼玉県SDGs官民連携プラットフォーム都市公園部会運営業務委託」の公募型プロポーザルについて,https://www.pref.saitama.lg.jp/a1105/oomiya/sdgsbukaikoukoku_2026.html,2026-05-02
埼玉県,令和8年度埼玉県レッドデータブック動物編改訂調査業務 公募型プロポーザル公告について-埼玉県,https://www.pref.saitama.lg.jp/b0508/cess-shisetsusyokai/reddatabook260406.html,2026-05-02
埼玉県,埼玉県若者向け総合就職支援サイト広報業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0816/rodo/sougousiensitepr.html,2026-05-02
埼玉県,【募集終了】大宮スーパー・ボールパーク全体事業計画検討支援業務委託の簡易公募型プロポーザルについて［公園スタジアム課］,https://www.pref.saitama.lg.jp/a1105/oomiyasbp/omiyasbppuropo.html,2026-05-02
埼玉県,令和8年度「近いがうまい埼玉産」フェア開催業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/r8_agri-fair.html,2026-05-02
埼玉県,二地域居住実践者インタビュー記事等作成業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0106/r8nichiikikyojuu.html,2026-05-02
埼玉県,令和8年度埼玉県保育所等虐待防止研修事業の企画提案競技の実施について,https://www.pref.saitama.lg.jp/b0616/kikakuteian/r8gyakutaikensyu.html,2026-05-02
埼玉県,令和8年度音声テキスト化システム提供業務企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/dx/20260401_koubo.html,2026-05-02
埼玉県,令和8年度障害者就労施設による公文書電子化モデル事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0605/bunsyodensika.html,2026-05-02
埼玉県,アニメ聖地を活用した観光プロモーション動画の制作業務委託企画提案競技について,https://www.pref.saitama.lg.jp/a0806/anime/movie.html,2026-05-02
埼玉県,【委託先候補者決定】県内企業による留学生等外国人材の確保支援事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/kikaku-teian.html,2026-05-02
埼玉県,【委託先候補者決定】シニア人材と企業をつなぐ埼玉モデルの推進事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/seniormatching/saitamamodel-kikakuteian.html,2026-05-02
埼玉県,【委託先候補者決定】埼玉県プロフェッショナル人材戦略拠点運営業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/projinzai/kikakuteian2026.html,2026-05-02
埼玉県,【委託先候補者決定】シニア人材活用による賃上げ環境整備事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0809/seniormatching/chinage-kikakuteian.html,2026-05-02
埼玉県,令和8年度埼玉移住広告・SNSプロモーション業務 企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0106/r8promotion.html,2026-05-02
埼玉県,令和8年度「埼玉農業経営塾運営業務委託」の企画提案競技を実施します,https://www.pref.saitama.lg.jp/a0903/keieitai/kikakuteian/r7keieijuku.html,2026-05-02
埼玉県,令和8年度障害者就労施設生産性向上支援に係る専門家派遣事業業務委託における企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0605/seisanseikoujou_senmonka.html,2026-05-02
埼玉県,令和8年度障害者レクリエーション活動等実施事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/sentei/20260423.html,2026-05-02
埼玉県,令和8年度DX計画実行事業業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/dx/20260409_koubo.html,2026-05-02
埼玉県,埼玉県いちご輸出基礎調査事業業務委託に係る企画提案競技について,https://www.pref.saitama.lg.jp/a0902/yushutsu/ichigo.html,2026-05-02
埼玉県,令和8年度公募型パラスポーツ活動支援事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/koubogatapara2026.html,2026-05-02
埼玉県,新予算編成システム構築支援業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0103/sinyosannhennseisistem.html,2026-05-02
埼玉県,令和8年度ICT導入による看護業務改善を目指す病院へのアドバイザー派遣事業に係る委託業務の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0709/2026ictadvisercompe.html,2026-05-02
埼玉県,令和8年度応急住宅対策訓練実施等業務委託プロポーザルの実施について,https://www.pref.saitama.lg.jp/a1107/oukyujuutaku-proposal/r8oukyujuutaku-proposal.html,2026-05-02
埼玉県,【募集終了】 ロボット関連技術PRカード作成等業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8kikakuteian_prcard.html,2026-05-02
埼玉県,【契約先候補者決定】「高齢者を守るお助けかわらばん」作成業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0310/kawaraban-teian.html,2026-05-02
埼玉県,彩の国資源循環工場地産エネルギー活用モデル調査業務に係る公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0503/chisan-energy/energy.html,2026-05-02
